playerid,Name,Team,MarApr_PA,MarApr_AB,MarApr_H,MarApr_HR,MarApr_R,MarApr_RBI,MarApr_SB,MarApr_BB%,MarApr_K%,MarApr_ISO,MarApr_BABIP,MarApr_AVG,MarApr_OBP,MarApr_SLG,MarApr_LD%,MarApr_GB%,MarApr_FB%,MarApr_IFFB%,MarApr_HR/FB,MarApr_O-Swing%,MarApr_Z-Swing%,MarApr_Swing%,MarApr_O-Contact%,MarApr_Z-Contact%,MarApr_Contact%,FullSeason_OBP
3473,Anthony Rizzo,CHC,124,101,23,6,20,18,1,12.9%,16.1%,0.257,0.22699999999999998,0.228,0.371,0.485,21.0%,37.0%,42.0%,8.8%,17.6%,32.0%,58.8%,42.4%,75.5%,88.3%,82.4%,0.405
7996,Jose Martinez,STL,82,77,28,1,12,13,1,4.9%,18.3%,0.10400000000000001,0.435,0.364,0.39,0.46799999999999997,28.6%,44.4%,27.0%,5.9%,5.9%,29.1%,61.0%,44.0%,71.7%,91.8%,84.7%,0.34
9054,Justin Smoak,TOR,109,91,24,5,15,18,0,14.7%,22.0%,0.198,0.306,0.264,0.385,0.462,20.9%,28.4%,50.7%,2.9%,14.7%,21.7%,59.4%,36.9%,61.7%,89.2%,79.5%,0.342
11579,Bryce Harper,PHI,129,104,25,6,17,20,1,17.8%,29.5%,0.25,0.317,0.24,0.38799999999999996,0.49,18.5%,44.6%,36.9%,16.7%,25.0%,26.9%,78.3%,47.0%,46.0%,74.1%,64.3%,0.37200000000000005
12532,Kolten Wong,STL,113,92,25,4,14,15,5,14.2%,15.0%,0.196,0.292,0.272,0.39799999999999996,0.467,16.4%,42.5%,41.1%,16.7%,13.3%,26.1%,65.8%,43.1%,69.7%,88.8%,82.2%,0.361
8252,Hunter Pence,TEX,62,56,17,3,14,13,1,8.1%,16.1%,0.214,0.318,0.304,0.355,0.518,21.3%,53.2%,25.5%,8.3%,25.0%,34.1%,71.0%,50.0%,66.7%,85.9%,78.4%,0.358
9549,David Freese,LAD,53,43,10,2,8,8,0,18.9%,18.9%,0.233,0.258,0.233,0.377,0.465,27.3%,51.5%,21.2%,0.0%,28.6%,26.8%,60.2%,41.3%,73.5%,86.4%,81.7%,0.40299999999999997
6368,Adam Jones,ARI,126,112,32,5,13,18,0,7.1%,14.3%,0.214,0.303,0.28600000000000003,0.36,0.5,18.3%,45.2%,36.6%,23.5%,14.7%,35.8%,69.9%,50.1%,63.9%,90.5%,79.5%,0.313
9218,Paul Goldschmidt,STL,132,116,30,9,22,19,0,11.4%,25.8%,0.259,0.28800000000000003,0.259,0.348,0.517,15.9%,37.8%,46.3%,2.6%,23.7%,30.0%,66.3%,45.1%,78.2%,77.4%,77.7%,0.34600000000000003
7185,Logan Forsythe,TEX,94,79,22,3,13,14,1,12.8%,23.4%,0.19,0.345,0.278,0.376,0.46799999999999997,24.1%,41.4%,34.5%,5.0%,15.0%,12.9%,51.0%,30.5%,76.7%,89.2%,86.4%,0.325
11368,Yasmani Grandal,MIL,104,92,26,6,16,12,3,9.6%,22.1%,0.217,0.313,0.28300000000000003,0.35600000000000004,0.5,22.1%,47.1%,30.9%,9.5%,28.6%,32.7%,64.3%,46.9%,61.6%,78.6%,72.1%,0.38
12564,Trevor Story,COL,131,118,33,7,22,19,6,6.9%,25.2%,0.237,0.32899999999999996,0.28,0.344,0.517,20.9%,33.7%,45.3%,5.1%,17.9%,31.7%,71.8%,48.6%,71.6%,79.2%,76.3%,0.363
12155,Eddie Rosario,MIN,112,105,25,11,20,24,0,6.3%,16.1%,0.36200000000000004,0.184,0.23800000000000002,0.28600000000000003,0.6,10.3%,37.9%,51.7%,8.9%,24.4%,44.2%,76.4%,55.5%,71.9%,88.5%,79.9%,0.3
4316,Daniel Murphy,COL,38,33,8,2,7,5,0,13.2%,5.3%,0.273,0.207,0.242,0.342,0.515,12.9%,29.0%,58.1%,5.6%,11.1%,36.3%,69.2%,48.3%,90.9%,91.7%,91.3%,0.32799999999999996
12547,John Hicks,DET,54,49,15,1,2,4,1,9.3%,24.1%,0.163,0.4,0.306,0.37,0.469,25.0%,41.7%,33.3%,8.3%,8.3%,40.2%,77.1%,58.1%,60.0%,80.2%,73.0%,0.24
3142,Robinson Chirinos,HOU,85,69,18,3,12,12,0,11.8%,28.2%,0.23199999999999998,0.341,0.261,0.361,0.493,17.4%,30.4%,52.2%,16.7%,12.5%,37.7%,68.2%,49.8%,56.0%,75.6%,66.7%,0.34700000000000003
20123,Juan Soto,WSN,125,105,26,6,16,22,3,15.2%,25.6%,0.21899999999999997,0.299,0.248,0.368,0.467,19.4%,47.2%,33.3%,4.2%,25.0%,23.7%,66.0%,39.7%,58.8%,87.5%,76.9%,0.401
12533,Marcus Semien,OAK,129,114,34,4,19,14,1,10.9%,13.2%,0.175,0.319,0.298,0.37200000000000005,0.474,18.4%,48.0%,33.7%,15.2%,12.1%,24.6%,64.6%,42.1%,65.7%,92.7%,83.8%,0.369
10348,Domingo Santana,SEA,135,120,36,5,15,25,3,9.6%,25.9%,0.175,0.38299999999999995,0.3,0.366,0.475,34.9%,41.9%,23.3%,0.0%,25.0%,27.8%,74.3%,48.1%,67.0%,85.2%,79.3%,0.32899999999999996
15608,Willians Astudillo,MIN,53,49,16,2,11,7,0,1.9%,1.9%,0.204,0.292,0.327,0.34,0.531,26.0%,38.0%,36.0%,5.6%,11.1%,46.8%,84.7%,63.3%,84.1%,96.7%,91.4%,0.299
10264,Brandon Belt,SFG,114,97,23,5,13,12,1,13.2%,23.7%,0.258,0.27699999999999997,0.237,0.35100000000000003,0.495,21.4%,22.9%,55.7%,10.3%,12.8%,26.9%,73.5%,46.8%,59.7%,87.8%,78.5%,0.33899999999999997
9847,Andrew McCutchen,PHI,131,108,26,5,24,10,1,17.6%,24.4%,0.213,0.29600000000000004,0.24100000000000002,0.374,0.45399999999999996,17.1%,47.4%,35.5%,7.4%,18.5%,19.0%,52.3%,34.5%,52.6%,78.8%,71.1%,0.37799999999999995
16556,Ozzie Albies,ATL,132,121,35,6,24,12,3,7.6%,15.9%,0.207,0.309,0.289,0.348,0.496,22.2%,45.5%,32.3%,3.1%,18.8%,41.2%,78.3%,57.2%,76.9%,83.2%,80.6%,0.35200000000000004
15676,Jose Abreu,CHW,117,104,29,5,15,24,2,9.4%,23.1%,0.221,0.32899999999999996,0.27899999999999997,0.35,0.5,20.5%,42.3%,37.2%,6.9%,17.2%,28.6%,67.4%,44.0%,60.5%,89.7%,78.3%,0.33
15181,Ryan Cordell,CHW,42,36,9,2,6,6,1,11.9%,26.2%,0.222,0.304,0.25,0.35700000000000004,0.47200000000000003,16.0%,36.0%,48.0%,8.3%,16.7%,26.9%,68.5%,44.1%,57.1%,80.0%,71.8%,0.29
18030,Harrison Bader,STL,63,49,11,3,8,9,0,14.3%,31.7%,0.204,0.308,0.22399999999999998,0.387,0.429,32.0%,32.0%,36.0%,11.1%,33.3%,23.9%,64.0%,41.8%,47.1%,83.6%,72.0%,0.314
